/home/rth/jgmandjes/.conda/envs/voxelmorph/lib/python3.10/site-packages/torch/functional.py:539: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:3637.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch 146/1500 - 0.3185 sec/step - loss: 1.0957e-02  (9.1768e-03, 1.7805e-03)
Epoch 147/1500 - 0.3185 sec/step - loss: 1.1485e-02  (9.7164e-03, 1.7682e-03)
Epoch 148/1500 - 0.3178 sec/step - loss: 1.0882e-02  (9.1041e-03, 1.7777e-03)
Epoch 149/1500 - 0.3193 sec/step - loss: 1.0548e-02  (8.8141e-03, 1.7338e-03)
Epoch 150/1500 - 0.3177 sec/step - loss: 1.1479e-02  (9.6945e-03, 1.7844e-03)
Epoch 151/1500 - 0.3191 sec/step - loss: 1.0655e-02  (9.0257e-03, 1.6289e-03)
Epoch 152/1500 - 0.3180 sec/step - loss: 1.1209e-02  (9.3993e-03, 1.8100e-03)
Epoch 153/1500 - 0.3192 sec/step - loss: 1.0771e-02  (9.0665e-03, 1.7046e-03)
Epoch 154/1500 - 0.3181 sec/step - loss: 1.0131e-02  (8.5112e-03, 1.6200e-03)
Epoch 155/1500 - 0.3196 sec/step - loss: 1.0434e-02  (8.7693e-03, 1.6649e-03)
Epoch 156/1500 - 0.3183 sec/step - loss: 1.1124e-02  (9.2538e-03, 1.8702e-03)
Epoch 157/1500 - 0.3190 sec/step - loss: 1.0626e-02  (8.9328e-03, 1.6930e-03)
Epoch 158/1500 - 0.3170 sec/step - loss: 1.0895e-02  (9.1393e-03, 1.7553e-03)
Epoch 159/1500 - 0.3198 sec/step - loss: 1.1097e-02  (9.3910e-03, 1.7062e-03)
Epoch 160/1500 - 0.3174 sec/step - loss: 1.1193e-02  (9.4634e-03, 1.7295e-03)
Epoch 161/1500 - 0.3179 sec/step - loss: 1.0772e-02  (9.0470e-03, 1.7255e-03)
Epoch 162/1500 - 0.3184 sec/step - loss: 1.0429e-02  (8.7032e-03, 1.7254e-03)
Epoch 163/1500 - 0.3189 sec/step - loss: 1.0221e-02  (8.5540e-03, 1.6671e-03)
Epoch 164/1500 - 0.3182 sec/step - loss: 1.0531e-02  (8.8439e-03, 1.6874e-03)
Epoch 165/1500 - 0.3185 sec/step - loss: 9.9847e-03  (8.3955e-03, 1.5892e-03)
Epoch 166/1500 - 0.3179 sec/step - loss: 1.1113e-02  (9.3836e-03, 1.7291e-03)
Epoch 167/1500 - 0.3190 sec/step - loss: 1.1255e-02  (9.5080e-03, 1.7471e-03)
Epoch 168/1500 - 0.3174 sec/step - loss: 1.0298e-02  (8.6016e-03, 1.6964e-03)
Epoch 169/1500 - 0.3182 sec/step - loss: 1.0679e-02  (8.9084e-03, 1.7703e-03)
Epoch 170/1500 - 0.3180 sec/step - loss: 1.1149e-02  (9.4679e-03, 1.6806e-03)
Epoch 171/1500 - 0.3176 sec/step - loss: 1.0384e-02  (8.7177e-03, 1.6660e-03)
Epoch 172/1500 - 0.3176 sec/step - loss: 1.0621e-02  (8.8577e-03, 1.7634e-03)
Epoch 173/1500 - 0.3183 sec/step - loss: 1.0296e-02  (8.6011e-03, 1.6953e-03)
Epoch 174/1500 - 0.3188 sec/step - loss: 1.0650e-02  (8.9086e-03, 1.7418e-03)
Epoch 175/1500 - 0.3180 sec/step - loss: 1.0447e-02  (8.7366e-03, 1.7108e-03)
Epoch 176/1500 - 0.3189 sec/step - loss: 1.0434e-02  (8.7414e-03, 1.6924e-03)
Epoch 177/1500 - 0.3183 sec/step - loss: 1.0472e-02  (8.7108e-03, 1.7613e-03)
Epoch 178/1500 - 0.3187 sec/step - loss: 1.0790e-02  (9.0722e-03, 1.7173e-03)
Epoch 179/1500 - 0.3177 sec/step - loss: 1.1514e-02  (9.7248e-03, 1.7893e-03)
Epoch 180/1500 - 0.3192 sec/step - loss: 1.0384e-02  (8.7139e-03, 1.6703e-03)
Epoch 181/1500 - 0.3168 sec/step - loss: 9.9706e-03  (8.2941e-03, 1.6765e-03)
Epoch 182/1500 - 0.3181 sec/step - loss: 1.0886e-02  (9.1573e-03, 1.7285e-03)
Epoch 183/1500 - 0.3172 sec/step - loss: 1.0164e-02  (8.4877e-03, 1.6765e-03)
Epoch 184/1500 - 0.3190 sec/step - loss: 1.1256e-02  (9.4239e-03, 1.8324e-03)
Epoch 185/1500 - 0.3180 sec/step - loss: 1.0850e-02  (9.0590e-03, 1.7914e-03)
Epoch 186/1500 - 0.3185 sec/step - loss: 1.0291e-02  (8.5698e-03, 1.7212e-03)
Epoch 187/1500 - 0.3177 sec/step - loss: 1.0209e-02  (8.4545e-03, 1.7545e-03)
Epoch 188/1500 - 0.3178 sec/step - loss: 1.0495e-02  (8.7625e-03, 1.7325e-03)
Epoch 189/1500 - 0.3183 sec/step - loss: 1.0586e-02  (8.8662e-03, 1.7198e-03)
Epoch 190/1500 - 0.3172 sec/step - loss: 1.1038e-02  (9.2519e-03, 1.7863e-03)
Epoch 191/1500 - 0.3179 sec/step - loss: 1.0457e-02  (8.7343e-03, 1.7227e-03)
Epoch 192/1500 - 0.3174 sec/step - loss: 1.0818e-02  (9.0983e-03, 1.7200e-03)
Epoch 193/1500 - 0.3186 sec/step - loss: 1.0484e-02  (8.7776e-03, 1.7066e-03)
Epoch 194/1500 - 0.3182 sec/step - loss: 1.0874e-02  (9.1152e-03, 1.7591e-03)
Epoch 195/1500 - 0.3188 sec/step - loss: 1.1095e-02  (9.3460e-03, 1.7487e-03)
Epoch 196/1500 - 0.3183 sec/step - loss: 1.0850e-02  (9.0112e-03, 1.8388e-03)
Epoch 197/1500 - 0.3193 sec/step - loss: 1.0256e-02  (8.5174e-03, 1.7384e-03)
Epoch 198/1500 - 0.3169 sec/step - loss: 1.0342e-02  (8.6504e-03, 1.6920e-03)
Epoch 199/1500 - 0.3179 sec/step - loss: 1.0572e-02  (8.8473e-03, 1.7247e-03)
Epoch 200/1500 - 0.3169 sec/step - loss: 1.0809e-02  (9.0732e-03, 1.7356e-03)
Epoch 201/1500 - 0.3155 sec/step - loss: 1.0430e-02  (8.6944e-03, 1.7354e-03)
Epoch 202/1500 - 0.3162 sec/step - loss: 1.0842e-02  (9.0601e-03, 1.7823e-03)
Epoch 203/1500 - 0.3157 sec/step - loss: 9.7617e-03  (8.1265e-03, 1.6352e-03)
Epoch 204/1500 - 0.3158 sec/step - loss: 1.0605e-02  (8.8821e-03, 1.7229e-03)
Epoch 205/1500 - 0.3159 sec/step - loss: 1.0778e-02  (9.0167e-03, 1.7615e-03)
Epoch 206/1500 - 0.3155 sec/step - loss: 1.0566e-02  (8.8311e-03, 1.7347e-03)
Epoch 207/1500 - 0.3164 sec/step - loss: 1.0366e-02  (8.6585e-03, 1.7074e-03)
Epoch 208/1500 - 0.3160 sec/step - loss: 1.0570e-02  (8.7504e-03, 1.8199e-03)
Epoch 209/1500 - 0.3167 sec/step - loss: 9.9804e-03  (8.2188e-03, 1.7616e-03)
Epoch 210/1500 - 0.3158 sec/step - loss: 1.0790e-02  (8.9745e-03, 1.8153e-03)
Epoch 211/1500 - 0.3156 sec/step - loss: 1.0910e-02  (9.1018e-03, 1.8078e-03)
Epoch 212/1500 - 0.3160 sec/step - loss: 1.1032e-02  (9.1854e-03, 1.8467e-03)
Epoch 213/1500 - 0.3155 sec/step - loss: 1.1371e-02  (9.5518e-03, 1.8192e-03)
Epoch 214/1500 - 0.3150 sec/step - loss: 1.0306e-02  (8.5981e-03, 1.7078e-03)
Epoch 215/1500 - 0.3145 sec/step - loss: 1.0464e-02  (8.6339e-03, 1.8300e-03)
Epoch 216/1500 - 0.3143 sec/step - loss: 1.0777e-02  (9.0083e-03, 1.7691e-03)
Epoch 217/1500 - 0.3143 sec/step - loss: 1.1038e-02  (9.2086e-03, 1.8289e-03)
Epoch 218/1500 - 0.3142 sec/step - loss: 1.0056e-02  (8.3560e-03, 1.6995e-03)
Epoch 219/1500 - 0.3141 sec/step - loss: 1.0924e-02  (9.0802e-03, 1.8435e-03)
Epoch 220/1500 - 0.3142 sec/step - loss: 1.0763e-02  (9.0049e-03, 1.7576e-03)
Epoch 221/1500 - 0.3128 sec/step - loss: 1.0286e-02  (8.5905e-03, 1.6959e-03)
Epoch 222/1500 - 0.3142 sec/step - loss: 1.0712e-02  (8.9438e-03, 1.7682e-03)
Epoch 223/1500 - 0.3142 sec/step - loss: 9.9607e-03  (8.2155e-03, 1.7452e-03)
Epoch 224/1500 - 0.3141 sec/step - loss: 1.1616e-02  (9.7857e-03, 1.8306e-03)
Epoch 225/1500 - 0.3142 sec/step - loss: 1.0567e-02  (8.7766e-03, 1.7906e-03)
Epoch 226/1500 - 0.3149 sec/step - loss: 1.0293e-02  (8.6047e-03, 1.6878e-03)
Epoch 227/1500 - 0.3165 sec/step - loss: 1.0239e-02  (8.4540e-03, 1.7853e-03)
Epoch 228/1500 - 0.3154 sec/step - loss: 1.0678e-02  (8.8889e-03, 1.7896e-03)
Epoch 229/1500 - 0.3156 sec/step - loss: 1.0718e-02  (8.9687e-03, 1.7498e-03)
Epoch 230/1500 - 0.3155 sec/step - loss: 1.0900e-02  (9.0835e-03, 1.8170e-03)
Epoch 231/1500 - 0.3156 sec/step - loss: 1.0609e-02  (8.8708e-03, 1.7378e-03)
